id_viaje,id_aeronave,id_fecha,id_zona,horas_vuelo,distancia_km
5061,N999XX,20230228,Z4,5.65,4802
5062,N222RR,20230315,Z1,9.21,7828
5063,N222RR,20240128,Z3,2.75,2337
5064,N999XX,20230410,Z1,9.32,7922
5065,N555CC,20230516,Z4,3.23,2745
5066,N12345,20240123,Z4,10.72,9112
5067,N222RR,20240414,Z3,10.05,8542
5068,N999XX,20240109,Z1,1.15,977
5069,N999XX,20230428,Z3,8.86,7530
5070,N67890,20230507,Z3,5.82,4947
5071,N555CC,20230221,Z1,5.01,4258
5072,N67890,20240127,Z4,3.12,2652
5073,N555CC,20240401,Z1,10.0,8500
5074,N555CC,20230511,Z4,8.58,7293
5075,N67890,20231204,Z1,2.22,1887
5076,N67890,20230423,Z4,9.36,7955
5077,N222RR,20231130,Z1,4.99,4241
5078,N555CC,20231229,Z1,4.38,3723
5079,N67890,20230425,Z2,5.78,4913
5080,N999XX,20240326,Z3,2.92,2482
5081,N12345,20230530,Z2,2.96,2516
5082,N67890,20240428,Z4,2.94,2499
5083,N12345,20230914,Z2,6.99,5941
5084,N999XX,20240227,Z2,3.27,2779
5085,N555CC,20230915,Z3,1.48,1258
5086,N12345,20231021,Z1,4.2,3570
5087,N999XX,20231110,Z4,9.79,8321
5088,N222RR,20231105,Z1,8.17,6944
5089,N999XX,20231009,Z4,9.21,7828
5090,N222RR,20231003,Z4,3.96,3366
5091,N12345,20230509,Z3,3.33,2830
5092,N12345,20230322,Z3,3.38,2873
5093,N222RR,20230202,Z2,10.73,9120
5094,N12345,20231117,Z2,1.88,1598
5095,N999XX,20230509,Z3,1.07,909
5096,N67890,20230408,Z1,9.39,7981
5097,N67890,20230717,Z2,11.79,10021
5098,N222RR,20240319,Z2,9.83,8355
5099,N67890,20230919,Z2,1.44,1224
5100,N222RR,20231108,Z4,2.17,1844
5101,N67890,20230906,Z1,1.95,1657
5102,N999XX,20240320,Z1,8.1,6885
5103,N67890,20230224,Z2,7.68,6528
5104,N555CC,20230515,Z4,7.84,6664
5105,N555CC,20230611,Z3,4.97,4224
5106,N555CC,20240221,Z3,2.76,2346
5107,N67890,20230813,Z1,7.33,6230
5108,N999XX,20230307,Z4,10.79,9171
5109,N555CC,20230207,Z1,11.5,9775
5110,N555CC,20240203,Z4,5.56,4726
5111,N555CC,20230222,Z2,5.73,4870
5112,N999XX,20231030,Z1,9.88,8398
5113,N12345,20230907,Z4,5.03,4275
5114,N999XX,20230729,Z4,5.74,4879
5115,N555CC,20230213,Z1,1.48,1258
5116,N222RR,20230112,Z1,7.81,6638
5117,N67890,20240414,Z2,9.64,8194
5118,N555CC,20240320,Z1,9.45,8032
5119,N67890,20230109,Z2,5.98,5083
5120,N67890,20240412,Z3,2.37,2014
5121,N999XX,20240414,Z4,8.25,7012
5122,N555CC,20231120,Z4,3.39,2881
5123,N555CC,20230613,Z2,7.98,6783
5124,N555CC,20230112,Z3,10.09,8576
5125,N999XX,20240301,Z1,9.34,7939
5126,N555CC,20240408,Z3,5.14,4369
5127,N12345,20240221,Z4,5.21,4428
5128,N555CC,20230222,Z1,9.53,8100
5129,N555CC,20230227,Z3,11.23,9545
5130,N12345,20230511,Z2,4.41,3748
5131,N222RR,20230101,Z1,5.44,4624
5132,N999XX,20231015,Z1,5.49,4666
5133,N555CC,20231021,Z4,3.15,2677
5134,N999XX,20230416,Z2,1.2,1020
5135,N222RR,20240203,Z4,9.6,8160
5136,N222RR,20230816,Z4,11.72,9962
5137,N999XX,20231120,Z1,10.36,8806
5138,N222RR,20230203,Z4,2.29,1946
5139,N222RR,20230225,Z1,2.38,2023
5140,N555CC,20230120,Z4,2.36,2006
5141,N12345,20231019,Z4,5.78,4913
5142,N67890,20231006,Z3,10.45,8882
5143,N67890,20230222,Z1,8.07,6859
5144,N12345,20231027,Z1,2.9,2465
5145,N12345,20230226,Z1,10.66,9061
5146,N67890,20231106,Z2,3.79,3221
5147,N999XX,20230915,Z1,10.42,8857
5148,N999XX,20231229,Z2,4.61,3918
5149,N222RR,20231021,Z3,1.61,1368
5150,N999XX,20231029,Z4,3.28,2788
5151,N222RR,20230916,Z4,7.03,5975
5152,N12345,20230312,Z1,6.41,5448
5153,N999XX,20230515,Z3,11.62,9877
5154,N222RR,20230802,Z2,5.53,4700
5155,N67890,20240415,Z3,3.17,2694
5156,N999XX,20240402,Z2,9.37,7964
5157,N67890,20231014,Z4,10.61,9018
5158,N999XX,20230111,Z3,8.3,7055
5159,N12345,20240311,Z2,1.24,1054
5160,N67890,20230107,Z2,2.63,2235
5161,N999XX,20240215,Z1,3.79,3221
5162,N67890,20240220,Z3,5.11,4343
5163,N222RR,20240421,Z1,3.58,3043
5164,N67890,20230803,Z4,4.5,3825
5165,N555CC,20230418,Z1,3.25,2762
5166,N12345,20230627,Z1,6.47,5499
5167,N12345,20230203,Z1,3.81,3238
5168,N12345,20240217,Z3,1.42,1207
5169,N222RR,20231210,Z3,9.7,8245
5170,N999XX,20230912,Z4,4.38,3723
5171,N12345,20240418,Z1,6.42,5457
5172,N12345,20230714,Z3,10.72,9112
5173,N222RR,20230818,Z2,3.02,2567
5174,N12345,20231224,Z4,8.14,6919
5175,N12345,20230121,Z4,10.47,8899
5176,N999XX,20230726,Z1,2.9,2465
5177,N999XX,20231220,Z3,1.54,1309
5178,N999XX,20230902,Z2,4.42,3757
5179,N555CC,20230102,Z1,3.2,2720
5180,N555CC,20230125,Z2,3.78,3213
5181,N67890,20230613,Z1,1.34,1139
5182,N222RR,20240214,Z4,10.31,8763
5183,N555CC,20231215,Z1,2.91,2473
5184,N555CC,20230508,Z2,7.77,6604
5185,N555CC,20240221,Z3,1.54,1309
5186,N222RR,20230916,Z4,1.88,1598
5187,N12345,20231119,Z1,2.12,1802
5188,N555CC,20230628,Z4,3.9,3315
5189,N12345,20231015,Z2,11.52,9792
5190,N999XX,20240417,Z4,8.48,7208
5191,N555CC,20231025,Z1,7.88,6698
5192,N12345,20230726,Z4,6.78,5763
5193,N12345,20231122,Z3,7.96,6766
5194,N67890,20230109,Z1,10.27,8729
5195,N12345,20230604,Z1,5.26,4471
5196,N12345,20230208,Z3,9.33,7930
5197,N67890,20230306,Z2,3.47,2949
5198,N67890,20230407,Z4,6.97,5924
5199,N12345,20231105,Z3,8.18,6953
5200,N67890,20230607,Z1,8.48,7208
5201,N67890,20231103,Z4,8.99,7641
5202,N67890,20230914,Z3,10.39,8831
5203,N67890,20230908,Z4,11.61,9868
5204,N999XX,20240408,Z2,3.07,2609
5205,N67890,20231217,Z1,8.32,7072
5206,N555CC,20230218,Z3,1.9,1615
5207,N555CC,20230325,Z2,4.06,3450
5208,N67890,20230710,Z3,5.72,4862
5209,N999XX,20230509,Z3,5.12,4352
5210,N555CC,20230108,Z3,9.52,8092
5211,N999XX,20240119,Z1,6.43,5465
5212,N67890,20230515,Z1,9.45,8032
5213,N67890,20230128,Z4,8.81,7488
5214,N67890,20240120,Z3,3.21,2728
5215,N67890,20230601,Z1,2.47,2099
5216,N555CC,20230902,Z4,3.58,3043
5217,N222RR,20230905,Z4,1.1,935
5218,N999XX,20240315,Z2,2.34,1988
5219,N222RR,20231120,Z3,2.46,2091
5220,N555CC,20240101,Z1,3.61,3068
5221,N999XX,20231020,Z4,8.18,6953
5222,N999XX,20240303,Z2,3.91,3323
5223,N999XX,20230929,Z2,5.66,4811
5224,N222RR,20240104,Z4,6.87,5839
5225,N222RR,20230903,Z1,5.77,4904
5226,N999XX,20240418,Z3,6.76,5746
5227,N555CC,20240403,Z3,6.75,5737
5228,N555CC,20230306,Z4,9.72,8262
5229,N555CC,20230314,Z3,9.37,7964
5230,N999XX,20230423,Z3,6.03,5125
5231,N999XX,20230401,Z2,6.26,5321
5232,N12345,20240310,Z3,5.8,4930
5233,N555CC,20240326,Z4,4.34,3689
5234,N999XX,20231228,Z4,9.38,7973
5235,N999XX,20230814,Z1,10.43,8865
5236,N12345,20240311,Z3,11.01,9358
5237,N555CC,20230921,Z1,7.48,6358
5238,N12345,20231107,Z2,1.77,1504
5239,N999XX,20230809,Z4,11.21,9528
5240,N67890,20230903,Z2,11.94,10149
5241,N67890,20240229,Z3,8.69,7386
5242,N222RR,20230225,Z4,7.61,6468
5243,N999XX,20231101,Z4,7.89,6706
5244,N999XX,20240220,Z2,11.54,9809
5245,N12345,20230622,Z2,1.26,1071
5246,N67890,20240210,Z3,2.43,2065
5247,N999XX,20240106,Z1,2.54,2159
5248,N12345,20240330,Z1,8.47,7199
5249,N12345,20240421,Z1,6.98,5933
5250,N555CC,20230421,Z3,4.2,3570
5251,N555CC,20231007,Z1,4.26,3621
5252,N999XX,20230617,Z1,7.5,6375
5253,N12345,20240330,Z2,10.58,8993
5254,N555CC,20240326,Z4,11.76,9996
5255,N12345,20240106,Z2,7.64,6494
5256,N12345,20230817,Z4,2.69,2286
5257,N999XX,20231013,Z1,9.37,7964
5258,N555CC,20230528,Z2,5.26,4471
5259,N12345,20230120,Z1,11.08,9418
5260,N222RR,20230425,Z4,10.71,9103
5261,N12345,20240424,Z2,4.09,3476
5262,N12345,20230217,Z1,10.6,9010
5263,N555CC,20230108,Z3,5.17,4394
5264,N67890,20230815,Z2,5.77,4904
5265,N999XX,20240319,Z2,11.6,9860
5266,N222RR,20231121,Z1,7.12,6052
5267,N12345,20230513,Z3,2.61,2218
5268,N12345,20240115,Z2,2.43,2065
5269,N222RR,20240313,Z1,2.27,1929
5270,N12345,20230509,Z1,7.36,6256
5271,N67890,20240330,Z4,3.25,2762
5272,N67890,20240315,Z4,5.48,4658
5273,N555CC,20230529,Z3,10.2,8670
5274,N555CC,20231109,Z4,6.13,5210
5275,N67890,20240201,Z1,2.5,2125
5276,N222RR,20230815,Z3,2.26,1920
5277,N999XX,20230515,Z4,4.91,4173
5278,N999XX,20240320,Z2,5.77,4904
5279,N999XX,20230516,Z2,7.88,6698
5280,N999XX,20230430,Z4,9.14,7769
5281,N222RR,20231107,Z1,2.69,2286
5282,N12345,20240120,Z2,5.71,4853
5283,N999XX,20230922,Z3,10.88,9248
5284,N12345,20231215,Z2,5.88,4998
5285,N999XX,20240411,Z3,11.0,9350
5286,N67890,20230816,Z2,6.54,5559
5287,N12345,20230916,Z4,1.86,1581
5288,N222RR,20230808,Z4,4.97,4224
5289,N12345,20230317,Z2,5.14,4369
5290,N67890,20240425,Z3,4.17,3544
5291,N222RR,20240229,Z1,4.4,3740
5292,N12345,20240330,Z3,4.04,3434
5293,N999XX,20230108,Z1,8.87,7539
5294,N999XX,20230113,Z1,3.9,3315
5295,N12345,20231012,Z2,7.49,6366
5296,N12345,20230223,Z1,1.47,1249
5297,N555CC,20230305,Z3,6.12,5202
5298,N555CC,20231009,Z1,11.57,9834
5299,N222RR,20230806,Z2,4.08,3468
5300,N67890,20240327,Z2,10.61,9018
5301,N67890,20230823,Z4,10.98,9333
5302,N67890,20230819,Z4,5.0,4250
5303,N555CC,20231112,Z4,11.03,9375
5304,N222RR,20230528,Z3,3.6,3060
5305,N12345,20230106,Z2,4.69,3986
5306,N999XX,20230201,Z2,1.96,1666
5307,N555CC,20231224,Z3,7.53,6400
5308,N222RR,20230420,Z2,4.68,3977
5309,N222RR,20231030,Z3,5.97,5074
5310,N67890,20230208,Z2,8.51,7233
5311,N67890,20230404,Z1,9.67,8219
5312,N999XX,20230508,Z1,10.83,9205
5313,N555CC,20231009,Z1,10.68,9078
5314,N222RR,20231001,Z1,1.61,1368
5315,N999XX,20230429,Z4,2.24,1904
5316,N222RR,20231216,Z1,2.49,2116
5317,N67890,20230202,Z3,9.36,7955
5318,N555CC,20230320,Z3,11.21,9528
5319,N12345,20230610,Z1,7.32,6222
5320,N999XX,20230623,Z1,11.29,9596
5321,N67890,20231113,Z4,10.96,9316
5322,N999XX,20230304,Z3,8.28,7037
5323,N12345,20230801,Z4,9.84,8364
5324,N222RR,20230915,Z1,9.79,8321
5325,N222RR,20230210,Z4,6.3,5355
5326,N555CC,20240411,Z2,11.21,9528
5327,N12345,20231216,Z2,10.56,8976
5328,N222RR,20230906,Z4,9.44,8024
5329,N12345,20230628,Z2,9.82,8347
5330,N12345,20230828,Z1,10.54,8959
5331,N222RR,20230713,Z1,11.72,9962
5332,N222RR,20230429,Z4,10.8,9180
5333,N67890,20230216,Z3,2.52,2142
5334,N67890,20230322,Z4,8.45,7182
5335,N999XX,20240320,Z1,7.75,6587
5336,N67890,20240217,Z1,4.15,3527
5337,N12345,20230729,Z3,10.67,9069
5338,N12345,20230710,Z1,5.87,4989
5339,N67890,20230829,Z2,7.09,6026
5340,N222RR,20231105,Z4,3.67,3119
5341,N999XX,20230401,Z3,9.91,8423
5342,N12345,20240410,Z2,1.46,1241
5343,N12345,20230119,Z4,10.9,9265
5344,N555CC,20231015,Z2,4.43,3765
5345,N555CC,20230226,Z2,5.17,4394
5346,N222RR,20230601,Z1,8.97,7624
5347,N555CC,20231008,Z2,1.62,1377
5348,N222RR,20240202,Z2,1.43,1215
5349,N999XX,20231009,Z3,8.53,7250
5350,N555CC,20230805,Z2,2.72,2312
5351,N999XX,20240121,Z2,8.15,6927
5352,N999XX,20230824,Z3,6.3,5355
5353,N555CC,20231105,Z3,5.44,4624
5354,N12345,20240305,Z4,10.27,8729
5355,N999XX,20230306,Z4,7.7,6545
5356,N999XX,20231204,Z2,2.96,2516
5357,N222RR,20240327,Z4,10.51,8933
5358,N555CC,20230622,Z1,6.0,5100
5359,N999XX,20231001,Z3,6.42,5457
5360,N555CC,20230624,Z3,9.6,8160
5361,N12345,20240422,Z2,8.39,7131
5362,N999XX,20231210,Z2,11.33,9630
5363,N555CC,20231013,Z3,2.85,2422
5364,N222RR,20230125,Z3,7.06,6001
5365,N999XX,20230507,Z4,10.38,8823
5366,N999XX,20230908,Z1,9.62,8176
5367,N555CC,20230104,Z3,2.55,2167
5368,N67890,20230429,Z1,10.44,8874
5369,N222RR,20230927,Z4,11.66,9911
5370,N12345,20240115,Z2,7.31,6213
5371,N999XX,20240104,Z1,3.84,3264
5372,N555CC,20230223,Z4,5.81,4938
5373,N555CC,20230626,Z4,6.27,5329
5374,N555CC,20240110,Z2,10.16,8636
5375,N555CC,20230915,Z1,9.17,7794
5376,N67890,20230216,Z2,1.81,1538
5377,N222RR,20240106,Z2,5.77,4904
5378,N999XX,20231217,Z4,9.18,7803
5379,N222RR,20230613,Z3,6.93,5890
5380,N67890,20230922,Z3,8.35,7097
5381,N12345,20231118,Z3,1.15,977
5382,N999XX,20231010,Z2,1.02,867
5383,N222RR,20231104,Z2,9.94,8449
5384,N222RR,20240229,Z3,7.47,6349
5385,N12345,20240318,Z1,1.96,1666
5386,N999XX,20240302,Z2,1.87,1589
5387,N222RR,20231013,Z1,6.01,5108
5388,N12345,20230326,Z1,5.68,4828
5389,N555CC,20231206,Z2,8.16,6936
5390,N555CC,20231009,Z3,9.38,7973
5391,N555CC,20230508,Z2,6.91,5873
5392,N67890,20230606,Z1,8.56,7276
5393,N999XX,20231027,Z2,11.31,9613
5394,N999XX,20240301,Z3,10.31,8763
5395,N67890,20240206,Z1,4.35,3697
5396,N555CC,20240128,Z2,8.63,7335
5397,N555CC,20230217,Z2,2.97,2524
5398,N999XX,20240119,Z1,6.76,5746
5399,N222RR,20240311,Z3,9.76,8296
5400,N67890,20231007,Z1,5.65,4802
5401,N222RR,20240210,Z3,5.26,4471
5402,N67890,20240301,Z3,6.99,5941
5403,N999XX,20230726,Z4,6.57,5584
5404,N999XX,20231129,Z4,1.12,952
5405,N999XX,20230609,Z4,1.72,1462
5406,N12345,20240207,Z3,11.72,9962
5407,N67890,20240428,Z4,3.61,3068
5408,N222RR,20231211,Z4,6.96,5916
5409,N999XX,20230816,Z2,10.2,8670
5410,N67890,20230927,Z4,8.38,7123
5411,N67890,20230412,Z3,5.51,4683
5412,N222RR,20230429,Z1,10.57,8984
5413,N555CC,20230704,Z4,10.49,8916
5414,N555CC,20230901,Z3,7.85,6672
5415,N222RR,20230520,Z2,8.71,7403
5416,N67890,20230203,Z3,2.04,1734
5417,N67890,20240223,Z3,10.24,8704
5418,N555CC,20230705,Z3,4.12,3502
5419,N999XX,20230510,Z3,6.87,5839
5420,N222RR,20240306,Z4,5.96,5066
5421,N12345,20230617,Z2,5.23,4445
5422,N67890,20230602,Z2,11.75,9987
5423,N12345,20240227,Z4,9.31,7913
5424,N555CC,20230509,Z2,3.56,3026
5425,N222RR,20240410,Z3,7.85,6672
5426,N12345,20230714,Z4,9.24,7854
5427,N12345,20240203,Z1,7.65,6502
5428,N999XX,20240218,Z3,10.58,8993
5429,N222RR,20230117,Z3,7.09,6026
5430,N222RR,20230625,Z1,8.79,7471
5431,N12345,20230226,Z1,4.75,4037
5432,N555CC,20231222,Z2,4.46,3791
5433,N555CC,20230420,Z3,7.77,6604
5434,N999XX,20240217,Z4,5.65,4802
5435,N12345,20231019,Z4,8.06,6851
5436,N555CC,20240402,Z1,11.82,10047
5437,N555CC,20230617,Z2,8.82,7497
5438,N222RR,20230709,Z1,11.71,9953
5439,N67890,20240108,Z2,11.88,10098
5440,N67890,20230125,Z1,5.99,5091
5441,N67890,20240412,Z2,5.42,4607
5442,N555CC,20240109,Z4,4.42,3757
5443,N999XX,20240405,Z1,4.79,4071
5444,N555CC,20240415,Z1,5.36,4556
5445,N555CC,20230613,Z4,3.2,2720
5446,N555CC,20240416,Z3,1.89,1606
5447,N999XX,20230619,Z3,8.28,7037
5448,N999XX,20230930,Z2,11.92,10132
5449,N67890,20230224,Z1,9.25,7862
5450,N67890,20230817,Z2,3.01,2558
5451,N12345,20230217,Z4,1.38,1173
5452,N222RR,20231018,Z1,6.16,5236
5453,N555CC,20230919,Z3,5.67,4819
5454,N67890,20230212,Z3,8.52,7242
5455,N222RR,20231027,Z2,4.61,3918
5456,N67890,20230907,Z1,5.25,4462
5457,N67890,20230401,Z4,10.71,9103
5458,N12345,20230509,Z4,8.96,7616
5459,N222RR,20230511,Z3,8.7,7394
5460,N12345,20230728,Z2,2.64,2244
5461,N999XX,20240403,Z4,10.8,9180
5462,N12345,20230104,Z3,11.41,9698
5463,N67890,20230114,Z2,5.13,4360
5464,N999XX,20230527,Z4,6.85,5822
5465,N12345,20230312,Z2,11.93,10140
5466,N555CC,20230331,Z3,11.87,10089
5467,N555CC,20240328,Z3,4.14,3518
5468,N555CC,20230615,Z3,9.25,7862
5469,N555CC,20230102,Z3,4.08,3468
5470,N222RR,20230604,Z4,10.08,8568
5471,N67890,20231208,Z3,8.27,7029
5472,N12345,20230630,Z3,3.67,3119
5473,N222RR,20230916,Z2,11.79,10021
5474,N12345,20230108,Z4,11.45,9732
5475,N555CC,20230611,Z2,10.39,8831
5476,N12345,20230304,Z2,9.04,7683
5477,N999XX,20230407,Z2,5.05,4292
5478,N12345,20230413,Z1,9.67,8219
5479,N222RR,20230902,Z2,11.87,10089
5480,N12345,20230616,Z2,11.24,9554
5481,N67890,20230325,Z3,1.53,1300
5482,N222RR,20230109,Z3,4.92,4182
5483,N999XX,20230826,Z4,6.5,5525
5484,N999XX,20240428,Z1,11.87,10089
5485,N999XX,20230813,Z1,3.99,3391
5486,N222RR,20230418,Z2,2.04,1734
5487,N12345,20230408,Z4,9.67,8219
5488,N12345,20231206,Z3,10.6,9010
5489,N555CC,20230430,Z1,6.5,5525
5490,N999XX,20230531,Z4,4.4,3740
5491,N12345,20230828,Z2,4.4,3740
5492,N999XX,20240323,Z3,5.67,4819
5493,N67890,20240223,Z2,4.49,3816
5494,N67890,20230810,Z4,3.87,3289
5495,N999XX,20240429,Z3,3.11,2643
5496,N67890,20230104,Z3,10.31,8763
5497,N12345,20230327,Z3,3.39,2881
5498,N67890,20230518,Z2,10.11,8593
5499,N999XX,20240327,Z3,9.17,7794
5500,N222RR,20240321,Z3,5.05,4292
5501,N222RR,20240101,Z4,2.54,2159
5502,N12345,20231213,Z4,5.26,4471
5503,N555CC,20230417,Z4,2.94,2499
5504,N222RR,20230712,Z3,5.35,4547
5505,N67890,20230407,Z2,6.86,5831
5506,N67890,20230622,Z4,10.92,9282
5507,N12345,20240425,Z2,7.77,6604
5508,N12345,20230227,Z1,10.55,8967
5509,N222RR,20240329,Z1,6.99,5941
5510,N555CC,20230220,Z1,6.81,5788
5511,N67890,20231123,Z2,6.39,5431
5512,N555CC,20240323,Z1,2.15,1827
5513,N999XX,20240216,Z2,1.87,1589
5514,N12345,20230316,Z2,3.83,3255
5515,N999XX,20231209,Z4,3.49,2966
5516,N12345,20230501,Z3,6.21,5278
5517,N12345,20230824,Z1,7.24,6154
5518,N999XX,20230413,Z4,10.15,8627
5519,N555CC,20240410,Z4,3.16,2686
5520,N555CC,20240306,Z4,8.23,6995
5521,N67890,20230408,Z2,3.15,2677
5522,N67890,20230313,Z4,3.26,2771
5523,N555CC,20230623,Z3,6.35,5397
5524,N12345,20230730,Z4,5.87,4989
5525,N555CC,20230114,Z4,5.78,4913
5526,N67890,20230624,Z1,10.86,9231
5527,N999XX,20240317,Z2,5.46,4641
5528,N555CC,20230902,Z2,3.32,2822
5529,N12345,20240120,Z2,5.95,5057
5530,N12345,20230301,Z1,7.66,6511
5531,N999XX,20230724,Z2,9.64,8194
5532,N222RR,20231230,Z2,1.26,1071
5533,N67890,20230329,Z1,5.78,4913
5534,N222RR,20230820,Z4,2.96,2516
5535,N555CC,20230626,Z2,9.25,7862
5536,N222RR,20230206,Z3,7.65,6502
5537,N999XX,20230410,Z3,7.75,6587
5538,N555CC,20230920,Z3,5.81,4938
5539,N67890,20230427,Z4,7.76,6596
5540,N999XX,20230525,Z2,5.79,4921
5541,N999XX,20230103,Z1,9.65,8202
5542,N999XX,20230301,Z1,4.74,4029
5543,N12345,20230130,Z3,5.52,4692
5544,N12345,20230412,Z4,1.56,1326
5545,N12345,20230517,Z3,10.18,8653
5546,N555CC,20240415,Z3,1.03,875
5547,N67890,20240208,Z2,11.77,10004
5548,N555CC,20230516,Z4,10.6,9010
5549,N67890,20230316,Z4,9.37,7964
5550,N67890,20230524,Z1,3.11,2643
5551,N555CC,20230203,Z4,7.14,6069
5552,N67890,20231015,Z2,1.08,918
5553,N67890,20230326,Z1,3.37,2864
5554,N12345,20240408,Z3,11.65,9902
5555,N12345,20240223,Z2,1.45,1232
5556,N222RR,20240225,Z3,3.22,2737
5557,N222RR,20231226,Z1,8.27,7029
5558,N555CC,20230216,Z1,7.57,6434
5559,N67890,20240221,Z1,6.46,5491
5560,N67890,20230902,Z2,1.99,1691
5561,N12345,20230817,Z1,6.2,5270
5562,N67890,20230423,Z3,1.38,1173
5563,N67890,20240326,Z1,6.2,5270
5564,N555CC,20230212,Z3,1.98,1683
5565,N222RR,20230131,Z3,2.42,2057
5566,N67890,20230411,Z2,5.84,4964
5567,N67890,20240103,Z4,1.98,1683
5568,N222RR,20231027,Z4,7.18,6103
5569,N12345,20231016,Z3,11.39,9681
5570,N555CC,20231029,Z1,2.78,2363
5571,N999XX,20230609,Z2,2.32,1971
5572,N555CC,20230626,Z3,5.87,4989
5573,N12345,20230908,Z3,7.92,6732
5574,N999XX,20240205,Z3,9.14,7769
5575,N67890,20230107,Z1,7.99,6791
5576,N67890,20230303,Z3,9.45,8032
5577,N555CC,20240422,Z3,7.02,5967
5578,N12345,20230405,Z4,9.55,8117
5579,N555CC,20230502,Z3,11.09,9426
5580,N222RR,20231017,Z4,6.84,5814
5581,N555CC,20231120,Z4,4.36,3706
5582,N12345,20240101,Z2,1.88,1598
5583,N555CC,20230325,Z1,11.36,9656
5584,N999XX,20240311,Z1,3.97,3374
5585,N67890,20230719,Z4,11.99,10191
5586,N999XX,20231214,Z2,10.81,9188
5587,N222RR,20240407,Z1,10.76,9146
5588,N67890,20231106,Z3,7.17,6094
5589,N555CC,20230114,Z2,3.63,3085
5590,N999XX,20230520,Z1,8.17,6944
5591,N999XX,20230709,Z1,8.75,7437
5592,N555CC,20240501,Z1,11.31,9613
5593,N67890,20230525,Z3,6.36,5406
5594,N555CC,20230703,Z3,1.54,1309
5595,N999XX,20230614,Z4,3.15,2677
5596,N67890,20231124,Z1,2.4,2040
5597,N67890,20230728,Z1,3.79,3221
5598,N12345,20230623,Z2,7.79,6621
5599,N555CC,20230324,Z3,6.95,5907
5600,N999XX,20230731,Z2,10.48,8908
5601,N999XX,20240308,Z2,7.86,6681
5602,N67890,20230602,Z2,12.0,10200
5603,N555CC,20230214,Z1,10.3,8755
5604,N222RR,20240411,Z2,4.05,3442
5605,N222RR,20230816,Z1,10.21,8678
5606,N555CC,20230902,Z2,4.65,3952
5607,N222RR,20230529,Z1,9.77,8304
5608,N67890,20240228,Z2,6.28,5338
5609,N999XX,20240124,Z4,5.36,4556
5610,N555CC,20240225,Z2,8.03,6825
5611,N67890,20230814,Z2,1.33,1130
5612,N222RR,20240411,Z1,10.31,8763
5613,N222RR,20230518,Z3,4.82,4097
5614,N67890,20231014,Z2,11.5,9775
5615,N999XX,20230116,Z3,4.05,3442
5616,N67890,20230309,Z1,5.83,4955
