id_viaje,id_cliente,id_vendedor,ingreso_bruto,unidades_vendidas
5091,38,9,5687.39,16
5091,15,1,9408.14,48
5091,3,10,9371.12,33
5092,43,5,6506.45,2
5093,29,1,8638.19,6
5093,47,6,14190.64,1
5093,34,1,3993.99,33
5094,18,9,8839.17,1
5094,33,9,12656.16,8
5095,11,3,12991.91,50
5096,48,3,13118.01,44
5096,16,5,12698.77,25
5097,19,7,11584.35,47
5098,29,6,2805.07,4
5098,12,1,13263.9,33
5099,38,5,8130.02,18
5100,48,6,3017.81,33
5100,44,10,9949.96,1
5100,22,3,4572.98,15
5101,21,1,13264.73,3
5101,39,9,14245.52,48
5102,1,2,10632.21,45
5102,4,4,4185.95,18
5102,29,2,14579.31,43
5102,47,8,12559.37,46
5103,10,7,9302.45,35
5103,10,2,6404.23,9
5104,2,2,8109.24,5
5104,16,5,13340.26,10
5104,22,7,6533.35,2
5105,26,6,6424.84,2
5105,1,7,10704.59,5
5106,15,9,6039.87,30
5106,23,6,8068.54,3
5106,34,5,12097.25,39
5106,5,3,5834.56,5
5107,32,6,10771.81,30
5108,40,2,8883.3,15
5108,45,3,13296.84,46
5109,14,2,7696.82,33
5109,3,6,14801.93,31
5110,43,4,8705.89,10
5110,24,9,4079.75,19
5110,41,1,10695.16,22
5111,30,2,10597.15,16
5112,33,5,12990.86,19
5112,37,5,9593.26,14
5112,46,2,11432.6,25
5112,23,2,10041.76,49
5113,23,8,6561.48,30
5113,48,9,5377.75,4
5114,25,10,5369.44,23
5115,31,4,9060.31,29
5115,46,2,10258.45,22
5115,10,4,6002.21,14
5116,27,9,5211.18,35
5116,4,3,2754.57,41
5117,49,1,9851.78,21
5118,33,9,2933.49,40
5118,31,1,4631.9,21
5118,43,8,6656.04,2
5119,39,8,8869.48,49
5120,41,9,10117.96,36
5120,44,10,5437.99,28
5120,42,5,6693.48,40
5120,23,8,13515.18,42
5121,20,1,7755.19,9
5121,44,4,5241.74,17
5121,50,10,12730.32,2
5122,45,7,7241.5,18
5123,4,2,10207.23,19
5123,13,5,14972.19,14
5123,20,2,2670.71,30
5123,22,6,2241.05,36
5124,50,2,10520.32,28
5124,29,8,14799.42,20
5124,37,2,11558.13,35
5125,1,3,13551.86,31
5125,47,2,13759.19,28
5126,39,8,5294.37,33
5126,7,7,6705.37,44
5126,50,7,5233.36,3
5127,4,2,4621.72,27
5127,39,5,12028.49,23
5127,50,5,7383.12,26
5127,17,9,10229.63,41
5128,32,4,6143.64,4
5128,50,7,4514.72,22
5129,32,3,8608.75,24
5130,43,4,6886.11,24
5130,6,6,8568.59,12
5131,24,10,4056.21,31
5131,12,5,8564.37,28
5132,23,10,11854.15,35
5132,40,9,10104.7,43
5132,37,2,5723.8,27
5132,46,1,12994.09,22
5133,24,3,14098.12,36
5133,9,8,6015.35,48
5133,15,3,7648.78,27
5133,39,5,5811.63,36
5134,45,7,11511.27,32
5134,39,4,10698.61,17
5134,44,10,8627.47,7
5135,43,6,11128.25,10
5135,26,5,12814.0,32
5135,40,7,11084.05,23
5135,36,9,2426.03,24
5136,3,7,10364.99,15
5136,18,7,14277.48,10
5136,5,7,2644.43,26
5137,7,5,11020.0,43
5137,50,3,14118.36,3
5137,19,10,14136.12,36
5137,2,10,4912.96,11
5138,45,1,13987.86,42
5138,14,9,6760.31,5
5139,21,7,9328.61,26
5139,37,4,8112.95,38
5139,40,1,14116.68,15
5139,41,5,8482.64,41
5140,38,8,10473.67,37
5140,10,9,3798.86,27
5141,47,5,7884.49,33
5141,49,7,7663.51,8
5141,29,7,3177.34,19
5142,33,10,2521.33,40
5142,14,10,2875.02,45
5142,40,8,14992.64,4
5143,16,6,10478.76,27
5143,46,8,6803.01,8
5144,32,6,14590.79,13
5145,38,10,12412.7,25
5146,14,1,7977.59,15
5146,49,6,8353.95,1
5147,34,5,3115.64,44
5147,28,9,13039.11,19
5148,34,5,10782.5,31
5149,26,5,12463.67,35
5150,17,8,14836.66,43
5150,45,6,7598.71,10
5150,13,10,8723.49,31
5151,35,9,11777.0,38
5151,40,7,8641.06,5
5151,45,9,7965.26,4
5151,22,4,7513.47,40
5152,3,1,10791.43,31
5152,10,9,3984.54,49
5152,5,10,5609.91,4
5153,4,4,3916.38,23
5153,13,5,14620.69,32
5153,48,10,4866.42,34
5154,28,2,5102.78,8
5154,19,2,4887.42,46
5154,19,1,3788.16,24
5155,45,7,11882.7,6
5156,29,10,6906.94,15
5156,9,10,2249.79,46
5156,25,5,5807.17,21
5156,37,3,7243.84,47
5157,45,5,6534.79,47
5157,44,4,9488.33,35
5158,36,2,3740.69,17
5158,28,7,13824.15,10
5159,3,6,4436.9,22
5160,44,7,8925.7,36
5160,23,9,4214.68,19
5160,13,10,14499.57,6
5160,22,10,11010.03,28
5161,13,6,5204.97,31
5162,44,1,10490.7,25
5162,18,3,6373.76,46
5162,46,2,4817.86,3
5163,24,6,11892.48,33
5163,50,8,10582.82,23
5164,29,5,14324.94,49
5164,40,3,13190.8,16
5164,22,3,13274.69,20
5165,15,7,4714.65,22
5165,45,2,2437.48,27
5165,1,6,14096.44,13
5166,45,6,7799.6,23
5166,38,2,7970.85,22
5166,25,8,3116.76,23
5167,27,5,13484.22,20
5168,48,6,13507.18,48
5168,19,5,6530.28,1
5169,7,5,4199.5,47
5169,49,2,14517.76,23
5169,41,7,2175.51,4
5170,19,10,4017.2,21
5170,33,6,8116.18,16
5171,15,3,14672.48,9
5171,41,10,2595.15,1
5171,17,6,11873.2,1
5172,32,6,9638.58,48
5172,14,2,10851.13,6
5173,47,8,3221.72,41
5173,8,3,10236.58,30
5173,17,4,4598.41,22
5174,34,5,13576.63,41
5174,33,9,7294.59,6
5174,50,5,8242.38,48
5175,18,2,8940.93,13
5175,14,10,13242.86,13
5175,17,6,5417.62,16
5175,43,4,9472.33,43
5176,25,7,5570.08,7
5176,36,4,12689.83,32
5177,47,4,6480.04,50
5178,50,5,8323.53,4
5179,5,5,14496.87,2
5179,1,5,11048.8,44
5179,5,3,4025.99,33
5179,5,7,9879.08,2
5180,21,8,11406.59,37
5180,18,7,6587.9,45
5180,11,5,10632.39,19
5180,46,10,8439.6,25
5181,27,10,11496.98,9
5181,19,7,9703.01,33
5182,4,8,13543.76,26
5182,46,1,2801.23,9
5182,35,8,10013.09,49
5182,42,3,12126.11,13
5183,5,7,12183.97,26
5183,42,1,9543.21,37
5183,35,5,6767.11,47
5183,1,3,3472.15,12
5184,6,6,13689.88,29
5185,32,5,11452.14,7
5185,6,4,2279.73,27
5185,29,3,7252.59,19
5186,9,1,10624.38,4
5186,41,6,6074.17,1
5186,25,7,5193.07,36
5187,25,9,5088.3,26
5187,19,3,9510.21,27
5188,45,9,10347.9,37
5188,35,9,10955.09,46
5188,50,8,6228.59,48
5189,47,7,8449.69,49
5189,4,9,4400.77,38
5190,23,6,3064.74,38
5190,22,4,9487.2,41
5190,39,1,14598.49,47
5190,45,9,11423.31,35
5191,47,2,5403.99,36
5191,18,8,14638.77,5
5191,18,6,8160.35,5
5192,12,10,6041.18,6
5192,16,7,3689.54,7
5193,6,5,4030.39,4
5193,1,8,9046.47,1
5193,48,9,10032.93,29
5193,34,1,7173.28,9
5194,9,7,6519.72,45
5194,26,8,14298.5,50
5194,6,10,11721.54,26
5195,17,6,5913.38,41
5196,3,3,13167.81,13
5196,22,1,13544.63,2
5196,49,3,2387.58,1
5196,39,7,6563.45,35
5197,15,3,6060.48,27
5198,15,7,8916.81,40
5199,33,3,9252.41,48
5200,7,1,6526.91,8
5200,21,2,8202.09,11
5201,10,9,12805.99,36
5201,21,8,3564.07,17
5201,31,9,9823.35,38
5202,7,10,9106.08,2
5202,42,2,13638.51,5
5203,15,8,5146.66,24
5203,31,5,4616.27,28
5203,33,5,12952.05,24
5204,22,9,7243.68,41
5204,43,9,2630.02,34
5204,33,4,10902.26,47
5205,39,9,13589.69,29
5205,21,10,5200.44,8
5206,38,4,14644.4,40
5207,25,8,14676.73,11
5207,24,4,8828.67,39
5207,32,7,2019.36,49
5208,40,5,14577.97,41
5208,21,1,7753.79,26
5209,11,7,12520.03,11
5209,9,4,7374.86,30
5209,10,4,4337.92,30
5210,6,1,9709.96,22
5211,29,6,9264.63,37
5211,28,3,7701.18,12
5211,40,6,4334.16,15
5211,41,5,9270.2,44
5212,24,4,4022.83,32
5213,31,10,3436.23,9
5213,16,10,5098.96,19
5213,44,2,4931.1,49
5214,25,8,3645.68,37
5214,9,3,11228.97,25
5215,14,9,11659.59,16
5216,3,5,9270.72,24
5216,11,9,2371.47,18
5216,39,1,2274.01,34
5217,27,10,7957.75,21
5218,10,9,14343.41,34
5219,22,5,10130.39,14
5219,14,5,9662.28,21
5219,2,7,5725.89,17
5219,6,8,11613.45,50
5220,49,9,13161.02,38
5220,42,7,4088.83,19
5220,47,6,7127.92,7
5221,34,3,7768.87,28
5222,30,8,5719.5,26
5222,26,9,10946.35,19
5223,21,8,14153.55,49
5223,29,4,9812.44,4
5223,48,8,7672.93,22
5223,36,3,9308.47,26
5224,24,3,4385.68,36
5224,31,2,7458.93,1
5224,26,7,9402.91,40
5225,12,5,11618.12,35
5225,25,10,5912.11,9
5225,48,5,7575.29,7
5225,47,3,14450.21,50
5226,44,10,14800.34,45
5226,12,9,3732.88,38
5226,11,3,6976.34,40
5226,15,3,4051.36,25
5227,49,5,2287.64,21
5227,22,7,14626.34,21
5227,41,1,10038.72,31
5227,28,3,3529.2,41
5228,13,8,9371.83,15
5229,4,9,11359.75,20
5229,33,1,11758.11,31
5230,44,7,5970.24,35
5230,39,7,9940.96,27
5231,35,7,4499.63,11
5231,43,9,7826.52,5
5231,21,3,2013.49,27
5232,6,6,5301.16,42
5232,46,7,7712.04,40
5232,18,10,13450.84,31
5232,15,4,2906.78,5
5233,47,5,3634.08,41
5233,1,9,6000.82,13
5233,5,1,3206.85,35
5234,20,9,2859.41,27
5235,44,5,10797.05,44
5235,26,4,14973.81,4
5235,6,9,5801.31,30
5236,46,9,10562.03,2
5236,16,6,10888.45,27
5236,2,1,14104.67,29
5236,41,6,2508.85,9
5237,9,9,13670.1,44
5237,25,4,6246.16,16
5237,41,6,10275.56,2
5237,1,5,5307.09,3
5238,4,9,6619.96,31
5238,4,4,5782.99,26
5238,20,10,12688.89,22
5238,3,1,8959.71,26
5239,32,2,14533.41,46
5239,8,2,12164.0,39
5240,33,9,2691.71,38
5240,24,1,14275.02,46
5240,34,8,5101.55,1
5240,41,4,6320.65,21
5241,42,10,3694.72,5
5241,16,4,4802.94,35
5241,41,4,14961.05,17
5241,20,10,8734.92,39
5242,14,6,10739.77,15
5242,31,4,8347.6,18
5242,15,9,4189.12,1
5242,34,8,13669.29,9
5243,25,9,12954.82,19
5243,34,9,13516.11,29
5243,21,3,8643.66,30
5243,10,10,11222.26,48
5244,9,7,5018.12,39
5244,49,1,8085.25,6
5244,25,9,6819.16,44
5245,32,5,12240.45,23
5245,40,2,6523.54,1
5245,31,6,13705.28,9
5245,13,7,13272.25,40
5246,12,3,9749.38,34
5246,20,1,7504.14,29
5247,11,7,11106.98,39
5248,9,5,7762.29,34
5248,42,1,14147.98,44
5248,13,6,9696.37,39
5249,40,4,8031.57,14
5249,22,3,11261.68,4
5249,23,10,13626.98,46
5249,42,9,8088.16,21
5250,25,2,5140.07,22
5250,17,8,4960.16,6
5251,24,8,8119.98,2
5251,32,7,2576.97,15
5252,18,4,10392.91,36
5252,28,3,4028.5,39
5252,39,10,3855.37,11
5252,6,8,13525.07,39
5253,28,6,3750.94,11
5253,25,5,12348.51,18
5253,14,7,14432.89,2
5253,50,8,9165.28,4
5254,44,7,14978.96,22
5254,14,8,14270.27,25
5254,49,1,13821.02,37
5255,23,2,5971.33,45
5255,17,7,11521.11,7
5255,22,1,5693.75,25
5255,30,1,6595.89,24
5256,30,3,14949.24,29
5256,20,4,9396.39,47
5257,50,2,11363.18,17
5257,24,1,14549.76,45
5258,49,9,4066.53,12
5259,3,5,8427.68,39
5259,17,7,4482.76,24
5260,9,8,2929.79,23
5261,7,3,12918.19,49
5262,16,2,10098.58,21
5263,8,9,10774.69,45
5264,5,9,3981.97,38
5265,9,10,4055.9,8
5265,6,10,12671.2,33
5265,41,4,13596.13,38
5265,4,1,2183.29,25
5266,39,2,9914.88,9
5266,5,3,4684.7,1
5267,6,2,8455.11,28
5267,20,6,5156.98,33
5267,2,2,2955.48,12
5267,6,7,8491.81,21
5268,15,6,9594.57,50
5268,25,7,8400.8,46
5269,12,10,8524.36,50
5269,30,10,8770.02,29
5269,16,5,4669.02,28
5269,5,1,3482.11,27
5270,48,6,2938.22,8
5270,32,9,3192.34,15
5270,17,7,11131.9,25
5271,44,5,13806.1,10
5272,23,6,10686.49,24
5272,14,10,5014.19,50
5272,15,3,12026.3,47
5272,46,4,14736.41,38
5273,13,9,2361.74,32
5273,5,3,3712.36,37
5273,20,4,14086.53,24
5273,38,10,13827.5,6
5274,25,4,12098.21,45
5274,1,10,13620.29,38
5274,15,6,6567.42,19
5275,27,6,13359.52,17
5275,46,6,11087.91,18
5276,16,6,8057.28,15
5277,45,7,12785.53,13
5277,20,10,2860.15,49
5277,2,8,13567.08,42
5277,29,1,13696.12,27
5278,9,9,2217.22,34
5278,27,8,4287.9,44
5279,25,1,11433.78,3
5280,33,4,3673.97,20
5280,37,8,14509.32,34
5280,5,10,2825.78,31
5280,16,1,9267.13,11
5281,38,8,12769.35,44
5281,40,3,12600.83,23
5282,34,7,12377.24,21
5282,32,8,2964.29,36
5282,39,6,10973.92,11
5282,33,7,7849.67,37
5283,5,8,14156.63,19
5283,28,7,12429.97,41
5283,3,6,4975.35,19
5284,39,9,5779.84,14
5284,26,3,13184.48,11
5284,16,9,3105.35,31
5285,5,8,10015.82,22
5285,21,6,14239.6,19
5285,3,6,9577.89,14
5285,37,4,6668.87,49
5286,19,8,14260.06,50
5287,46,9,11130.02,48
5287,9,7,12338.28,12
5288,39,4,6561.63,21
5288,48,1,12023.05,1
5289,5,6,11501.91,11
5289,11,2,3110.14,15
5289,7,6,13665.82,19
5289,9,5,7501.99,6
5290,39,7,13364.56,35
5291,44,10,10218.83,50
5291,9,10,12300.04,5
5292,17,2,7583.61,7
5292,5,5,13030.75,18
5293,24,1,5607.82,23
5293,2,5,3593.35,12
5293,34,8,6175.43,31
5293,43,6,2600.41,46
5294,22,2,10759.03,27
5294,5,4,13107.85,23
5294,29,6,7993.93,34
5294,15,5,12460.05,21
5295,15,1,14458.57,34
5295,43,4,13954.43,17
5296,12,7,6722.44,17
5297,28,3,6578.58,11
5297,9,7,11094.46,13
5297,18,6,10474.86,48
5297,42,7,5618.23,21
5298,3,1,4481.27,25
5298,10,6,7098.35,15
5298,39,6,2416.31,5
5299,32,4,7626.27,37
5299,50,10,4109.98,33
5300,37,7,8958.57,20
5300,24,3,6053.56,39
5300,9,6,2589.52,12
5301,41,6,10809.93,27
5301,34,7,11712.8,45
5302,30,9,13618.02,37
5302,11,5,8249.38,39
5302,35,9,12003.69,36
5303,33,2,7159.18,44
5304,10,3,10783.61,18
5304,41,6,3875.39,38
5305,6,5,8176.38,2
5306,23,7,8333.68,37
5307,2,7,10285.37,40
5307,35,4,11993.22,23
5308,33,5,10234.55,29
5308,1,7,3456.85,31
5308,34,7,5488.03,50
5309,27,1,5192.03,32
5310,26,3,2415.36,49
5311,10,2,7676.75,7
5311,49,10,13609.34,23
5311,30,3,10317.21,8
5311,12,3,5178.31,19
5312,39,6,2315.16,28
5313,44,2,3936.21,32
5314,45,7,7587.84,13
5315,50,6,11988.03,36
5315,40,8,13483.12,47
5315,2,8,8764.75,45
5316,13,10,9597.18,45
5317,2,4,12911.57,20
5317,6,4,12347.85,35
5317,37,7,12297.79,21
5318,22,6,10073.14,29
5319,44,10,14903.86,44
5319,34,10,6121.89,26
5320,49,2,5549.05,15
5320,44,6,3413.09,43
5321,31,6,6471.67,29
5321,13,2,13273.4,12
5321,45,9,3293.36,13
5321,17,3,10678.89,41
5322,9,9,6245.51,47
5322,8,6,3233.29,33
5322,35,4,10497.81,19
5322,10,4,8064.2,44
5323,48,10,5883.06,11
5323,9,8,8761.95,22
5323,41,6,5667.58,39
5323,22,4,5286.3,19
5324,46,7,3895.17,38
5324,45,6,2189.53,46
5324,30,2,10985.93,17
5324,33,4,3058.86,1
5325,39,1,11575.8,20
5325,26,7,11601.33,17
5326,17,3,6351.17,31
5326,35,2,6852.12,24
5326,1,6,9322.63,24
5327,18,4,3831.65,13
5327,22,5,6753.93,48
5328,27,8,11790.1,41
5328,11,7,3498.6,3
5328,42,4,4656.75,15
5329,17,1,4365.46,41
5329,37,8,4220.85,11
5329,30,4,13746.38,22
5329,38,9,2743.18,36
5330,45,7,3827.15,41
5330,17,1,4663.56,29
5330,15,2,4694.09,2
5331,3,1,10252.58,43
5331,49,8,13994.67,32
5331,49,8,7159.21,5
5331,16,3,6576.38,31
5332,25,9,11050.09,43
5332,19,6,11454.23,45
5332,5,10,2146.43,27
5332,50,9,8511.28,10
5333,29,3,7592.14,40
5333,34,1,11042.7,2
5333,36,2,12641.69,7
5334,18,5,9163.49,50
5335,8,4,13278.18,9
5335,33,5,2301.07,15
5336,7,5,5523.49,43
5336,6,6,4139.84,15
5336,19,3,3357.32,5
5336,44,6,4001.59,1
5337,32,7,7370.2,5
5338,32,8,14584.66,12
5338,44,5,3853.1,38
5339,49,1,14453.07,22
5339,38,2,12084.93,26
5339,16,9,3696.14,35
5340,45,7,9354.25,15
5341,18,5,12643.77,6
5342,6,4,7186.48,21
5342,16,2,13720.94,32
5342,6,1,14976.87,43
5342,10,7,7397.33,38
5343,15,4,6965.21,50
5344,11,6,2594.29,9
5344,41,4,8716.43,34
5345,6,9,6951.65,26
5346,32,9,11068.41,44
5347,37,8,4668.83,37
5347,36,8,8371.57,27
5347,17,9,8646.95,2
5347,13,9,9145.37,3
5348,33,6,2503.86,12
5348,41,5,5099.53,26
5348,18,2,2652.91,17
5348,49,8,6322.37,11
5349,4,9,8582.58,31
5349,2,3,10274.48,37
5349,2,8,4887.59,37
5349,11,10,2320.48,34
5350,41,8,7904.33,36
5350,10,3,6022.65,45
5350,48,3,5318.16,2
5350,43,3,10760.96,4
5351,11,9,10582.6,29
5351,50,3,7220.64,34
5351,26,9,11336.62,8
5352,43,3,8499.42,48
5353,47,4,13293.1,25
5353,15,3,6835.27,18
5353,27,6,10073.11,44
5354,32,3,13303.42,3
5354,1,9,10786.88,41
5355,15,5,8630.93,29
5356,22,3,10651.82,31
5356,12,6,5463.98,19
5356,23,4,11784.35,11
5356,22,3,6070.97,12
5357,31,1,9047.99,47
5357,9,4,9810.01,44
5357,8,9,11472.34,44
5357,2,6,12928.67,13
5358,2,10,7845.87,10
5358,36,2,4549.67,20
5359,12,9,10038.93,31
5359,25,8,12979.11,30
5360,8,9,10735.5,50
5360,35,2,2548.55,50
5361,4,10,8638.15,2
5361,18,8,6809.33,30
5361,35,4,13858.68,36
5361,24,6,8992.46,34
5362,4,1,8778.36,28
5362,29,10,5106.59,18
5362,18,9,4174.61,41
5362,38,9,4341.0,1
5363,4,5,13302.0,29
5363,23,7,13223.24,10
5364,42,9,11786.44,46
5364,28,8,4220.23,10
5364,36,1,7739.22,31
5365,29,5,8807.84,46
5365,4,6,5230.33,38
5365,41,8,2521.81,40
5365,7,5,7737.29,42
5366,31,7,13325.56,25
5366,40,6,5570.09,47
5366,50,8,6561.36,24
5367,12,1,7893.35,40
5367,21,2,4080.54,15
5367,16,7,9641.31,17
5368,42,4,6910.77,40
5369,32,10,11638.67,15
5369,19,8,7141.8,34
5369,12,5,8089.13,49
5370,45,6,5778.7,16
5370,45,4,14148.7,39
5370,39,6,6429.8,28
5370,20,10,2269.78,21
5371,37,6,9300.91,25
5371,12,9,5654.23,7
5371,12,6,9613.04,11
5372,31,1,12595.43,21
5372,32,7,10188.64,38
5372,30,2,7644.88,27
5372,49,10,2301.4,25
5373,25,7,13679.2,47
5373,45,10,2960.76,8
5373,23,10,14664.05,45
5374,45,9,6855.03,31
5374,46,10,9698.89,48
5374,36,2,3848.68,1
5375,13,3,4359.84,11
5375,36,3,13113.49,35
5376,25,6,10736.89,35
5376,19,5,8536.11,47
5377,10,4,8565.26,6
5378,44,5,6274.9,16
5378,1,3,13442.24,50
5379,49,10,11642.0,14
5379,47,10,13992.93,47
5379,6,2,7473.7,15
5380,4,3,12524.93,32
5380,11,5,4749.22,15
5380,25,9,8722.74,9
5381,8,5,6430.65,16
5381,42,2,11466.19,22
5381,48,1,10371.43,6
5382,34,3,4058.35,23
5382,29,3,4161.38,29
5383,31,6,4926.15,7
5383,20,10,12976.05,21
5383,31,7,8104.37,35
5384,42,2,4640.14,29
5384,42,3,4563.78,3
5384,50,9,5493.69,40
5384,30,2,12458.55,32
5385,48,7,5869.46,21
5385,33,10,9880.83,38
5386,48,9,8624.64,19
5386,25,1,7048.9,40
5386,34,7,8991.82,2
5387,46,9,7765.95,2
5388,16,2,12342.64,2
5388,40,8,7628.11,19
5388,4,7,8340.25,32
5388,39,2,10205.21,21
5389,40,5,6225.37,11
5390,36,1,6334.87,25
5390,30,8,6511.19,35
5390,17,4,6968.28,38
5391,1,2,13060.45,43
5391,37,9,8934.76,49
5392,3,2,4719.86,1
5392,28,9,6341.7,9
5393,29,7,9796.27,24
5393,44,1,14059.62,32
5393,25,6,7506.52,16
5394,21,2,3175.17,49
5394,42,6,2363.05,49
5394,1,3,12308.95,39
5394,21,9,9756.53,36
5395,18,9,6979.38,3
5396,31,9,6489.55,10
5396,36,5,12026.85,38
